Nom,Latitude,Longitude,Type,Puissance_Installee_MW,Hauteur_de_chute_m,Nb_turbines,Debits_nom,Type_turbine,eta_turb,Volume_reservoir,nb_turbines_maintenance,id_HQ,enfant,catch_coefficient
Carillon,-74.3836111,45.5686111,Fil de l'eau,756.0,17.99,14.0,339.715871251884,Kaplan,0.95,0.0,1.0,1064.0,original,1.0
Romaine-2,-63.190935,50.623732,Reservoir,640.0,156.0,2.0,242.359938537942,Francis,0.91,3720000000.0,0.0,14132.0,original,1.0
Toulnustouc,-68.159444,49.970556,Reservoir,526.0,152.0,2.0,204.431405393394,Francis,0.91,3973000000.0,0.0,7080.0,original,1.0
Outardes-2,-68.389785,49.144563,Fil de l'eau,523.0,82.3,3.0,250.27418318947,Francis,0.91,0.0,0.0,1023.0,original,1.0
Eastmain-1,-76.051389,52.181667,Reservoir,480.0,63.0,3.0,300.064685808881,Francis,0.91,170649000000.0,0.0,5956.0,original,1.0
Brisay,-70.5191667,54.4544444,Reservoir,469.0,37.5,2.0,738.834272632918,Francis,0.91,376600000000.0,0.0,14586.0,original,1.0
Romaine-3,-63.400227,51.114188,Reservoir,395.0,119.0,2.0,196.09006581812,Francis,0.91,1878000000.0,0.0,14162.0,original,1.0
Peribonka,-71.181943,49.5075,Fil de l'eau,385.0,67.6,3.0,224.299462348817,Francis,0.91,0.0,0.0,9199.0,original,1.0
Laforge-2,-71.2708333,54.5916667,Fil de l'eau,319.0,27.4,2.0,658.814828027515,Kaplan,0.95,0.0,0.0,1078.0,original,1.0
Trenche,-72.878752,47.752433,Fil de l'eau,302.0,48.47,6.0,122.692531295126,Francis,0.91,0.0,0.0,1078.0,Beaumont,0.35
La tuque,-72.79881,47.444583,Fil de l'eau,294.0,34.75,6.0,166.600662786334,Francis,0.91,0.0,0.0,1078.0,original,1.0
Beaumont,-72.8366667,47.5555556,Fil de l'eau,270.0,37.8,6.0,140.655321472913,Francis,0.91,0.0,1.0,1078.0,La tuque,0.5714
Romaine-1,-63.260058,50.386552,Fil de l'eau,270.0,61.5,2.0,259.354690325664,Francis,0.91,0.0,0.0,6414.0,original,1.0
Romaine-4,-60.6866667,50.2155556,Reservoir,245.0,88.54,2.0,163.467727349929,Francis,0.91,65212920000.0,0.0,14163.0,original,1.0
McCormick,-68.3277778,49.1925,Fil de l'eau,235.0,37.8,7.0,104.933335067094,Francis,0.91,0.0,0.0,1015.0,original,1.0
Rocher-de-Grand-Mere,-72.674857,46.613888,Fil de l'eau,230.0,24.3,3.0,357.070152029396,Kaplan,0.95,0.0,0.0,1015.0,Shawinigan-3,0.9762
Paugan,-75.933041,45.809852,Fil de l'eau,216.0,40.54,8.0,78.6892622349696,Francis,0.91,0.0,0.0,1046.0,original,1.0
Rapide-Blanc,-72.975,47.7972222,Reservoir,204.0,32.92,6.0,122.026609394483,Francis,0.91,466000000.0,0.0,1015.0,Rocher-de-Grand-Mere,0.811
Shawinigan-2,-72.7652778,46.5375,Fil de l'eau,200.0,44.2,8.0,66.8271889350944,Francis,0.91,0.0,1.0,1015.0,La Gabelle,0.9932
Shawinigan-3,-72.765263,46.533833,Fil de l'eau,194.0,44.2,3.0,172.859662045444,Francis,0.91,0.0,0.0,1015.0,Shawinigan-2,0.9932
Manic-1,-68.3294444,49.1905556,Fil de l'eau,184.0,36.58,3.0,198.101754026366,Francis,0.91,0.0,0.0,1025.0,original,1.0
Rapides-des-Iles,-79.354675,47.576852,Fil de l'eau,176.0,26.22,4.0,189.92110563617,Kaplan,0.95,0.0,0.0,1126.0,Premiere-Chute,0.35
Chelsea,-75.777591,45.512561,Fil de l'eau,152.0,28.35,5.0,121.35949514937,Kaplan,0.95,0.0,0.0,1075.0,original,1.0
Sarcelle,-76.632538,52.667721,Fil de l'eau,150.0,8.7,3.0,650.43513450632,Kaplan,0.95,0.0,0.0,5956.0,original,1.0
La Gabelle,-72.739444,46.448889,Fil de l'eau,131.0,17.38,5.0,170.610108814005,Kaplan,0.95,0.0,0.0,1015.0,original,1.0
Premiere-Chute,-79.4525,47.6,Fil de l'eau,131.0,22.26,4.0,166.509641239185,Kaplan,0.95,0.0,0.0,1126.0,original,1.0
Les Cedres,-74.0283333,45.3116667,Fil de l'eau,113.0,9.14,12.0,116.601528215384,Kaplan,0.95,0.0,1.0,1232.0,original,1.0
Rapides-des-Quinze,-79.294055,47.591099,Fil de l'eau,109.0,25.9,6.0,79.383222400559,Kaplan,0.95,0.0,0.0,1050.0,original,1.0
Rapides-Farmer,-75.763311,45.498885,Fil de l'eau,104.0,20.12,5.0,117.000737515173,Kaplan,0.95,0.0,0.0,1050.0,original,1.0
Chute-des-Chats,-76.238333,45.475,Fil de l'eau,92.0,16.16,4.0,161.079295067716,Kaplan,0.95,0.0,0.0,1050.0,Rapides-Farmer,0.4536
Rapide-des-Coeurs,-73.375177,47.786596,Fil de l'eau,76.0,22.69,6.0,63.1802131534566,Kaplan,0.95,0.0,0.0,1015.0,Rapide-Blanc,0.6831
Chute-Allard,-73.721943,47.89111,Fil de l'eau,62.0,17.83,6.0,65.5907107034416,Kaplan,0.95,0.0,0.0,1015.0,Rapide-des-Coeurs,0.5698
Bryson,-76.6311111,45.6611111,Fil de l'eau,61.0,18.29,3.0,125.81954652178,Kaplan,0.95,0.0,0.0,1050.0,Chute-des-Chats,0.35
Rapide-2,-78.576111,47.933611,Fil de l'eau,61.0,20.43,4.0,84.4801580720764,Kaplan,0.95,0.0,0.0,1126.0,Rapide-7,0.35
Rapide-7,-78.310155,47.768449,Reservoir,61.0,20.73,4.0,83.2575798076469,Kaplan,0.95,2145000000.0,1.0,1126.0,original,1.0
Mercier,-75.982777,46.717777,Reservoir,55.0,18.0,5.0,69.1629359691721,Kaplan,0.95,3664000000.0,0.0,1009.0,original,1.0
Riviere-des-Prairies,-73.6572222,45.5894444,Fil de l'eau,54.0,7.93,6.0,128.446585200113,Kaplan,0.95,0.0,0.0,1012.0,original,1.0
Hart-Jaune,-67.9127778,51.785,Reservoir,51.0,39.6,3.0,50.7211613796262,Francis,0.91,1430000000.0,0.0,6412.0,original,1.0
Chute-Hemmings,-72.4508333,45.8625,Fil de l'eau,29.0,14.64,6.0,39.0068719385264,Francis,0.91,0.0,0.0,1134.0,Drummondville,0.35
Lac-Robertson,-59.063056,50.999167,Reservoir,22.0,38.5,2.0,32.3359181154571,Kaplan,0.95,605000000.0,0.0,1015.0,original,1.0
Sept-Chutes,-70.828527,47.12276,Fil de l'eau,22.0,124.97,4.0,5.19986865011489,Francis,0.91,0.0,0.0,1134.0,original,1.0
Drummondville,-72.483802,45.886924,Fil de l'eau,16.0,9.1,4.0,49.7475663314724,Kaplan,0.95,0.0,0.0,1134.0,original,1.0
Chute-Bell,-74.684444,45.773889,Fil de l'eau,10.0,17.8,2.0,31.7909307314887,Kaplan,0.95,0.0,0.0,1064.0,Carillon,0.35
Churchill-Falls,-63.9658,53.5289,Reservoir,5428.0,312.4,11.0,185.556609,Francis,0.91,32640000000.0,1.0,10602.0,original,1.0
Gull-Island,-61.37,52.96,Fil de l'eau,2250.0,79.0,12.0,301.23,Francis,0.91,0.0,0.0,1020.0,original,1.0
