 ID,PARAM,Date,Paugan,SYM
02LH009,1,2025/11/13,268,
02LH009,1,2025/11/14,268,
02LH009,1,2025/11/15,282,
02LH009,1,2025/11/16,284,
02LH009,1,2025/11/17,247,
02LH009,1,2025/11/18,271,
02LH009,1,2025/11/19,272,
02LH009,1,2025/11/20,266,
02LH009,1,2025/11/21,247,
02LH009,1,2025/11/22,255,
02LH009,1,2025/11/23,255,
02LH009,1,2025/11/24,256,
02LH009,1,2025/11/25,281,
02LH009,1,2025/11/26,276,
02LH009,1,2025/11/27,267,
02LH009,1,2025/11/28,262,
02LH009,1,2025/11/29,264,
02LH009,1,2025/11/30,304,
02LH009,1,2025/12/01,299,
02LH009,1,2025/12/02,305,
02LH009,1,2025/12/03,341,
02LH009,1,2025/12/04,369,
02LH009,1,2025/12/05,360,
02LH009,1,2025/12/06,376,
02LH009,1,2025/12/07,376,
02LH009,1,2025/12/08,376,
02LH009,1,2025/12/09,386,
02LH009,1,2025/12/10,409,
02LH009,1,2025/12/11,412,
02LH009,1,2025/12/12,384,
02LH009,1,2025/12/13,300,
02LH009,1,2025/12/14,298,
02LH009,1,2025/12/15,336,
02LH009,1,2025/12/16,403,
02LH009,1,2025/12/17,404,
02LH009,1,2025/12/18,410,
02LH009,1,2025/12/19,418,
02LH009,1,2025/12/20,422,
02LH009,1,2025/12/21,412,
02LH009,1,2025/12/22,398,
02LH009,1,2025/12/23,412,
02LH009,1,2025/12/24,401,
02LH009,1,2025/12/25,396,
02LH009,1,2025/12/26,384,
02LH009,1,2025/12/27,387,
02LH009,1,2025/12/28,387,
02LH009,1,2025/12/29,387,
02LH009,1,2025/12/30,372,
02LH009,1,2025/12/31,366,
02LH009,1,2026/01/01,366,
