 ID,PARAM,Date,Laforge-2,SYM
03DC005,1,1984/11/09,1080,
03DC005,1,1984/11/10,1090,
03DC005,1,1984/11/11,1090,
03DC005,1,1984/11/12,1080,
03DC005,1,1984/11/13,1070,
03DC005,1,1984/11/14,1020,
03DC005,1,1984/11/15,971,
03DC005,1,1984/11/16,924,
03DC005,1,1984/11/17,885,
03DC005,1,1984/11/18,859,
03DC005,1,1984/11/19,839,
03DC005,1,1984/11/20,823,
03DC005,1,1984/11/21,807,
03DC005,1,1984/11/22,794,
03DC005,1,1984/11/23,783,
03DC005,1,1984/11/24,773,
03DC005,1,1984/11/25,765,
03DC005,1,1984/11/26,763,
03DC005,1,1984/11/27,762,
03DC005,1,1984/11/28,763,
03DC005,1,1984/11/29,760,
03DC005,1,1984/11/30,753,
03DC005,1,1984/12/01,744,
03DC005,1,1984/12/02,736,
03DC005,1,1984/12/03,733,
03DC005,1,1984/12/04,727,
03DC005,1,1984/12/05,716,
03DC005,1,1984/12/06,715,E
03DC005,1,1984/12/07,705,E
03DC005,1,1984/12/08,700,E
03DC005,1,1984/12/09,700,E
03DC005,1,1984/12/10,700,E
03DC005,1,1984/12/11,700,E
03DC005,1,1984/12/12,700,E
03DC005,1,1984/12/13,700,E
03DC005,1,1984/12/14,700,E
03DC005,1,1984/12/15,695,E
03DC005,1,1984/12/16,692,E
03DC005,1,1984/12/17,690,E
03DC005,1,1984/12/18,687,E
03DC005,1,1984/12/19,684,E
03DC005,1,1984/12/20,680,E
03DC005,1,1984/12/21,680,E
03DC005,1,1984/12/22,680,E
03DC005,1,1984/12/23,680,E
03DC005,1,1984/12/24,680,E
03DC005,1,1984/12/25,680,E
03DC005,1,1984/12/26,680,E
03DC005,1,1984/12/27,680,E
03DC005,1,1984/12/28,680,E
03DC005,1,1984/12/29,681,E
03DC005,1,1984/12/30,684,E
03DC005,1,1984/12/31,688,E
03DC005,1,1985/01/01,690,E
