 ID,PARAM,Date,Les Cedres,SYM
02MC018,1,2025/09/04,289,
02MC018,1,2025/09/05,358,
02MC018,1,2025/09/06,610,
02MC018,1,2025/09/07,836,
02MC018,1,2025/09/08,735,
02MC018,1,2025/09/09,373,
02MC018,1,2025/09/10,289,
02MC018,1,2025/09/11,285,
02MC018,1,2025/09/12,290,
02MC018,1,2025/09/13,393,
02MC018,1,2025/09/14,737,
02MC018,1,2025/09/15,520,
02MC018,1,2025/09/16,555,
02MC018,1,2025/09/17,432,
02MC018,1,2025/09/18,890,
02MC018,1,2025/09/19,530,
02MC018,1,2025/09/20,525,
02MC018,1,2025/09/21,523,
02MC018,1,2025/09/22,484,
02MC018,1,2025/09/23,341,
02MC018,1,2025/09/24,736,
02MC018,1,2025/09/25,859,
02MC018,1,2025/09/26,707,
02MC018,1,2025/09/27,644,
02MC018,1,2025/09/28,685,
02MC018,1,2025/09/29,454,
02MC018,1,2025/09/30,593,
02MC018,1,2025/10/01,320,
02MC018,1,2025/10/02,287,
02MC018,1,2025/10/03,289,
02MC018,1,2025/10/04,284,
02MC018,1,2025/10/05,289,
02MC018,1,2025/10/06,290,
02MC018,1,2025/10/07,287,
02MC018,1,2025/10/08,280,
02MC018,1,2025/10/09,281,
02MC018,1,2025/10/10,286,
02MC018,1,2025/10/11,287,
02MC018,1,2025/10/12,623,
02MC018,1,2025/10/13,277,
02MC018,1,2025/10/14,281,
02MC018,1,2025/10/15,286,
02MC018,1,2025/10/16,275,
02MC018,1,2025/10/17,274,
02MC018,1,2025/10/18,452,
02MC018,1,2025/10/19,467,
02MC018,1,2025/10/20,472,
02MC018,1,2025/10/21,284,
02MC018,1,2025/10/22,415,
02MC018,1,2025/10/23,554,
02MC018,1,2025/10/24,654,
02MC018,1,2025/10/25,647,
02MC018,1,2025/10/26,762,
02MC018,1,2025/10/27,1080,
02MC018,1,2025/10/28,761,
02MC018,1,2025/10/29,692,
02MC018,1,2025/10/30,307,
02MC018,1,2025/10/31,264,
02MC018,1,2025/11/01,289,
02MC018,1,2025/11/02,476,
02MC018,1,2025/11/03,428,
02MC018,1,2025/11/04,397,
02MC018,1,2025/11/05,317,
02MC018,1,2025/11/06,561,
02MC018,1,2025/11/07,655,
02MC018,1,2025/11/08,795,
02MC018,1,2025/11/09,1180,
02MC018,1,2025/11/10,955,
02MC018,1,2025/11/11,753,
02MC018,1,2025/11/12,724,
02MC018,1,2025/11/13,363,
02MC018,1,2025/11/14,444,
02MC018,1,2025/11/15,541,
02MC018,1,2025/11/16,425,
02MC018,1,2025/11/17,536,
02MC018,1,2025/11/18,475,
02MC018,1,2025/11/19,368,
02MC018,1,2025/11/20,256,
02MC018,1,2025/11/21,579,
02MC018,1,2025/11/22,713,
02MC018,1,2025/11/23,519,
02MC018,1,2025/11/24,715,
02MC018,1,2025/11/25,614,
02MC018,1,2025/11/26,343,
02MC018,1,2025/11/27,282,
02MC018,1,2025/11/28,582,
02MC018,1,2025/11/29,797,
02MC018,1,2025/11/30,538,
02MC018,1,2025/12/01,555,
02MC018,1,2025/12/02,451,
02MC018,1,2025/12/03,275,
02MC018,1,2025/12/04,283,
02MC018,1,2025/12/05,295,
02MC018,1,2025/12/06,302,
02MC018,1,2025/12/07,298,
02MC018,1,2025/12/08,301,
02MC018,1,2025/12/09,278,
02MC018,1,2025/12/10,295,
02MC018,1,2025/12/11,578,
02MC018,1,2025/12/12,499,
02MC018,1,2025/12/13,413,
02MC018,1,2025/12/14,430,
02MC018,1,2025/12/15,432,
02MC018,1,2025/12/16,435,
02MC018,1,2025/12/17,435,
02MC018,1,2025/12/18,433,
02MC018,1,2025/12/19,435,
02MC018,1,2025/12/20,430,
02MC018,1,2025/12/21,542,
02MC018,1,2025/12/22,289,
02MC018,1,2025/12/23,285,
02MC018,1,2025/12/24,290,
02MC018,1,2025/12/25,296,
02MC018,1,2025/12/26,295,
02MC018,1,2025/12/27,288,
02MC018,1,2025/12/28,286,
02MC018,1,2025/12/29,298,
02MC018,1,2025/12/30,278,
02MC018,1,2025/12/31,301,
02MC018,1,2026/01/01,301,
