 ID,PARAM,Date,Chute-des-Chats,SYM
02KF009,1,2025/08/15,783,
02KF009,1,2025/08/16,660,
02KF009,1,2025/08/17,662,
02KF009,1,2025/08/18,599,
02KF009,1,2025/08/19,735,
02KF009,1,2025/08/20,749,
02KF009,1,2025/08/21,955,
02KF009,1,2025/08/22,649,
02KF009,1,2025/08/23,653,
02KF009,1,2025/08/24,601,
02KF009,1,2025/08/25,629,
02KF009,1,2025/08/26,692,
02KF009,1,2025/08/27,636,
02KF009,1,2025/08/28,668,
02KF009,1,2025/08/29,670,
02KF009,1,2025/08/30,672,
02KF009,1,2025/08/31,668,
02KF009,1,2025/09/01,659,
02KF009,1,2025/09/02,669,
02KF009,1,2025/09/03,724,
02KF009,1,2025/09/04,681,
02KF009,1,2025/09/05,591,
02KF009,1,2025/09/06,696,
02KF009,1,2025/09/07,700,
02KF009,1,2025/09/08,589,
02KF009,1,2025/09/09,635,
02KF009,1,2025/09/10,629,
02KF009,1,2025/09/11,646,
02KF009,1,2025/09/12,594,
02KF009,1,2025/09/13,637,
02KF009,1,2025/09/14,624,
02KF009,1,2025/09/15,664,
02KF009,1,2025/09/16,608,
02KF009,1,2025/09/17,520,
02KF009,1,2025/09/18,719,
02KF009,1,2025/09/19,526,
02KF009,1,2025/09/20,639,
02KF009,1,2025/09/21,521,
02KF009,1,2025/09/22,598,
02KF009,1,2025/09/23,652,
02KF009,1,2025/09/24,511,
02KF009,1,2025/09/25,645,
02KF009,1,2025/09/26,593,
02KF009,1,2025/09/27,575,
02KF009,1,2025/09/28,507,
02KF009,1,2025/09/29,505,
02KF009,1,2025/09/30,686,
02KF009,1,2025/10/01,509,
02KF009,1,2025/10/02,672,
02KF009,1,2025/10/03,636,
02KF009,1,2025/10/04,710,
02KF009,1,2025/10/05,558,
02KF009,1,2025/10/06,651,
02KF009,1,2025/10/07,552,
02KF009,1,2025/10/08,699,
02KF009,1,2025/10/09,601,
02KF009,1,2025/10/10,644,
02KF009,1,2025/10/11,484,
02KF009,1,2025/10/12,609,
02KF009,1,2025/10/13,557,
02KF009,1,2025/10/14,478,
02KF009,1,2025/10/15,539,
02KF009,1,2025/10/16,588,
02KF009,1,2025/10/17,678,
02KF009,1,2025/10/18,555,
02KF009,1,2025/10/19,603,
02KF009,1,2025/10/20,686,
02KF009,1,2025/10/21,768,
02KF009,1,2025/10/22,724,
02KF009,1,2025/10/23,717,
02KF009,1,2025/10/24,1010,
02KF009,1,2025/10/25,712,
02KF009,1,2025/10/26,709,
02KF009,1,2025/10/27,815,
02KF009,1,2025/10/28,874,
02KF009,1,2025/10/29,799,
02KF009,1,2025/10/30,705,
02KF009,1,2025/10/31,778,
02KF009,1,2025/11/01,860,
02KF009,1,2025/11/02,792,
02KF009,1,2025/11/03,829,
02KF009,1,2025/11/04,922,
02KF009,1,2025/11/05,1090,
02KF009,1,2025/11/06,976,
02KF009,1,2025/11/07,850,
02KF009,1,2025/11/08,1010,
02KF009,1,2025/11/09,1040,
02KF009,1,2025/11/10,1160,
02KF009,1,2025/11/11,1330,
02KF009,1,2025/11/12,1370,
02KF009,1,2025/11/13,1190,
02KF009,1,2025/11/14,1200,
02KF009,1,2025/11/15,814,
02KF009,1,2025/11/16,1130,
02KF009,1,2025/11/17,1040,
02KF009,1,2025/11/18,1180,
02KF009,1,2025/11/19,1090,
02KF009,1,2025/11/20,1040,
02KF009,1,2025/11/21,966,
02KF009,1,2025/11/22,839,
02KF009,1,2025/11/23,1190,
02KF009,1,2025/11/24,965,
02KF009,1,2025/11/25,914,
02KF009,1,2025/11/26,956,
02KF009,1,2025/11/27,885,
02KF009,1,2025/11/28,841,
02KF009,1,2025/11/29,963,
02KF009,1,2025/11/30,899,
02KF009,1,2025/12/01,992,
02KF009,1,2025/12/02,1150,
02KF009,1,2025/12/03,1010,
02KF009,1,2025/12/04,970,
02KF009,1,2025/12/05,1070,
02KF009,1,2025/12/06,926,
02KF009,1,2025/12/07,990,
02KF009,1,2025/12/08,1060,
02KF009,1,2025/12/09,1100,
02KF009,1,2025/12/10,1130,
02KF009,1,2025/12/11,1130,
02KF009,1,2025/12/12,986,
02KF009,1,2025/12/13,1200,
02KF009,1,2025/12/14,852,
02KF009,1,2025/12/15,1030,
02KF009,1,2025/12/16,1010,
02KF009,1,2025/12/17,999,
02KF009,1,2025/12/18,1030,
02KF009,1,2025/12/19,1050,
02KF009,1,2025/12/20,1090,
02KF009,1,2025/12/21,1110,
02KF009,1,2025/12/22,1180,
02KF009,1,2025/12/23,1270,
02KF009,1,2025/12/24,1060,
02KF009,1,2025/12/25,882,
02KF009,1,2025/12/26,1070,
02KF009,1,2025/12/27,815,
02KF009,1,2025/12/28,880,
02KF009,1,2025/12/29,898,
02KF009,1,2025/12/30,1250,
02KF009,1,2025/12/31,904,
02KF009,1,2026/01/01,904,
