 ID,PARAM,Date,Rocher-de-Grand-Mere,SYM
02NG001,1,2025/05/20,1050,
02NG001,1,2025/05/21,1040,
02NG001,1,2025/05/22,1120,
02NG001,1,2025/05/23,1030,
02NG001,1,2025/05/24,937,
02NG001,1,2025/05/25,842,
02NG001,1,2025/05/26,785,
02NG001,1,2025/05/27,710,
02NG001,1,2025/05/28,677,
02NG001,1,2025/05/29,707,
02NG001,1,2025/05/30,657,
02NG001,1,2025/05/31,604,
02NG001,1,2025/06/01,752,
02NG001,1,2025/06/02,802,
02NG001,1,2025/06/03,917,
02NG001,1,2025/06/04,991,
02NG001,1,2025/06/05,1030,
02NG001,1,2025/06/06,931,
02NG001,1,2025/06/07,822,
02NG001,1,2025/06/08,666,
02NG001,1,2025/06/09,656,
02NG001,1,2025/06/10,638,
02NG001,1,2025/06/11,572,
02NG001,1,2025/06/12,539,
02NG001,1,2025/06/13,465,
02NG001,1,2025/06/14,488,
02NG001,1,2025/06/15,504,
02NG001,1,2025/06/16,490,
02NG001,1,2025/06/17,509,
02NG001,1,2025/06/18,479,
02NG001,1,2025/06/19,482,
02NG001,1,2025/06/20,455,
02NG001,1,2025/06/21,549,
02NG001,1,2025/06/22,573,
02NG001,1,2025/06/23,558,
02NG001,1,2025/06/24,500,
02NG001,1,2025/06/25,452,
02NG001,1,2025/06/26,585,
02NG001,1,2025/06/27,646,
02NG001,1,2025/06/28,753,
02NG001,1,2025/06/29,1050,
02NG001,1,2025/06/30,1190,
02NG001,1,2025/07/01,1130,
02NG001,1,2025/07/02,1140,
02NG001,1,2025/07/03,1130,
02NG001,1,2025/07/04,1140,
02NG001,1,2025/07/05,1000,
02NG001,1,2025/07/06,929,
02NG001,1,2025/07/07,1010,
02NG001,1,2025/07/08,1140,
02NG001,1,2025/07/09,1170,
02NG001,1,2025/07/10,1140,
02NG001,1,2025/07/11,1250,
02NG001,1,2025/07/12,1370,
02NG001,1,2025/07/13,1210,
02NG001,1,2025/07/14,1090,
02NG001,1,2025/07/15,1010,
