 ID,PARAM,Date,Outardes-2,SYM
02TE001,1,2025/08/25,328,
02TE001,1,2025/08/26,223,
02TE001,1,2025/08/27,179,
02TE001,1,2025/08/28,120,
02TE001,1,2025/08/29,178,
02TE001,1,2025/08/30,215,
02TE001,1,2025/08/31,263,
02TE001,1,2025/09/01,326,
02TE001,1,2025/09/02,256,
02TE001,1,2025/09/03,217,
02TE001,1,2025/09/04,137,
02TE001,1,2025/09/05,176,
02TE001,1,2025/09/06,155,
02TE001,1,2025/09/07,306,
02TE001,1,2025/09/08,244,
02TE001,1,2025/09/09,345,
02TE001,1,2025/09/10,405,
02TE001,1,2025/09/11,309,
02TE001,1,2025/09/12,360,
02TE001,1,2025/09/13,447,
02TE001,1,2025/09/14,354,
02TE001,1,2025/09/15,334,
02TE001,1,2025/09/16,323,
02TE001,1,2025/09/17,211,
02TE001,1,2025/09/18,230,
02TE001,1,2025/09/19,235,
02TE001,1,2025/09/20,320,
02TE001,1,2025/09/21,270,
02TE001,1,2025/09/22,314,
02TE001,1,2025/09/23,320,
02TE001,1,2025/09/24,292,
02TE001,1,2025/09/25,263,
02TE001,1,2025/09/26,248,
02TE001,1,2025/09/27,244,
02TE001,1,2025/09/28,300,
02TE001,1,2025/09/29,527,
02TE001,1,2025/09/30,705,
02TE001,1,2025/10/01,663,
02TE001,1,2025/10/02,657,
02TE001,1,2025/10/03,722,
02TE001,1,2025/10/04,708,
02TE001,1,2025/10/05,728,
02TE001,1,2025/10/06,360,
02TE001,1,2025/10/07,348,
02TE001,1,2025/10/08,436,
02TE001,1,2025/10/09,473,
02TE001,1,2025/10/10,467,
02TE001,1,2025/10/11,320,
02TE001,1,2025/10/12,631,
02TE001,1,2025/10/13,646,
02TE001,1,2025/10/14,646,
02TE001,1,2025/10/15,646,
02TE001,1,2025/10/16,648,
02TE001,1,2025/10/17,923,
02TE001,1,2025/10/18,963,
02TE001,1,2025/10/19,640,
02TE001,1,2025/10/20,428,
02TE001,1,2025/10/21,371,
02TE001,1,2025/10/22,382,
02TE001,1,2025/10/23,314,
02TE001,1,2025/10/24,362,
02TE001,1,2025/10/25,337,
02TE001,1,2025/10/26,348,
02TE001,1,2025/10/27,340,
02TE001,1,2025/10/28,334,
02TE001,1,2025/10/29,343,
02TE001,1,2025/10/30,357,
02TE001,1,2025/10/31,345,
02TE001,1,2025/11/01,334,
02TE001,1,2025/11/02,351,
02TE001,1,2025/11/03,385,
02TE001,1,2025/11/04,430,
02TE001,1,2025/11/05,396,
02TE001,1,2025/11/06,343,
02TE001,1,2025/11/07,283,
02TE001,1,2025/11/08,360,
02TE001,1,2025/11/09,323,
02TE001,1,2025/11/10,357,
02TE001,1,2025/11/11,331,
02TE001,1,2025/11/12,337,
02TE001,1,2025/11/13,343,
02TE001,1,2025/11/14,402,
02TE001,1,2025/11/15,445,
02TE001,1,2025/11/16,447,
02TE001,1,2025/11/17,445,
02TE001,1,2025/11/18,453,
02TE001,1,2025/11/19,476,
02TE001,1,2025/11/20,456,
02TE001,1,2025/11/21,453,
02TE001,1,2025/11/22,447,
02TE001,1,2025/11/23,445,
02TE001,1,2025/11/24,447,
02TE001,1,2025/11/25,456,
02TE001,1,2025/11/26,447,
02TE001,1,2025/11/27,413,
02TE001,1,2025/11/28,419,
02TE001,1,2025/11/29,422,
02TE001,1,2025/11/30,416,
02TE001,1,2025/12/01,419,
02TE001,1,2025/12/02,402,
02TE001,1,2025/12/03,399,
02TE001,1,2025/12/04,413,
02TE001,1,2025/12/05,425,
02TE001,1,2025/12/06,561,
02TE001,1,2025/12/07,442,
02TE001,1,2025/12/08,453,
02TE001,1,2025/12/09,450,
02TE001,1,2025/12/10,430,
02TE001,1,2025/12/11,385,
02TE001,1,2025/12/12,453,
02TE001,1,2025/12/13,447,
02TE001,1,2025/12/14,447,
02TE001,1,2025/12/15,439,
02TE001,1,2025/12/16,433,
02TE001,1,2025/12/17,391,
02TE001,1,2025/12/18,360,
02TE001,1,2025/12/19,402,
02TE001,1,2025/12/20,396,
02TE001,1,2025/12/21,402,
02TE001,1,2025/12/22,425,
02TE001,1,2025/12/23,428,
02TE001,1,2025/12/24,425,
02TE001,1,2025/12/25,413,
02TE001,1,2025/12/26,411,
02TE001,1,2025/12/27,382,
02TE001,1,2025/12/28,402,
02TE001,1,2025/12/29,399,
02TE001,1,2025/12/30,371,
02TE001,1,2025/12/31,442,
02TE001,1,2026/01/01,442,
