 ID,PARAM,dateTime,La grande-1,SYM
03DF001,1,2025/02/26,481,B
03DF001,1,2025/02/27,481,B
03DF001,1,2025/02/28,481,B
03DF001,1,2025/03/01,481,B
03DF001,1,2025/03/02,479,B
03DF001,1,2025/03/03,479,B
03DF001,1,2025/03/04,476,B
03DF001,1,2025/03/05,473,B
03DF001,1,2025/03/06,473,B
03DF001,1,2025/03/07,473,B
03DF001,1,2025/03/08,470,B
03DF001,1,2025/03/09,470,B
03DF001,1,2025/03/10,470,B
03DF001,1,2025/03/11,470,B
03DF001,1,2025/03/12,470,B
03DF001,1,2025/03/13,467,B
03DF001,1,2025/03/14,467,B
03DF001,1,2025/03/15,467,B
03DF001,1,2025/03/16,467,B
03DF001,1,2025/03/17,467,B
03DF001,1,2025/03/18,467,B
03DF001,1,2025/03/19,467,B
03DF001,1,2025/03/20,467,B
03DF001,1,2025/03/21,467,B
03DF001,1,2025/03/22,467,B
03DF001,1,2025/03/23,473,
03DF001,1,2025/03/24,476,
03DF001,1,2025/03/25,476,
03DF001,1,2025/03/26,476,
03DF001,1,2025/03/27,476,
03DF001,1,2025/03/28,481,
03DF001,1,2025/03/29,487,
03DF001,1,2025/03/30,490,
03DF001,1,2025/03/31,490,
03DF001,1,2025/04/01,490,
03DF001,1,2025/04/02,490,
03DF001,1,2025/04/03,490,
03DF001,1,2025/04/04,484,
03DF001,1,2025/04/05,484,
03DF001,1,2025/04/06,481,
03DF001,1,2025/04/07,476,
03DF001,1,2025/04/08,470,
03DF001,1,2025/04/09,467,
03DF001,1,2025/04/10,467,
03DF001,1,2025/04/11,470,
03DF001,1,2025/04/12,470,
03DF001,1,2025/04/13,470,
03DF001,1,2025/04/14,470,
03DF001,1,2025/04/15,473,
03DF001,1,2025/04/16,479,
03DF001,1,2025/04/17,487,
03DF001,1,2025/04/18,510,
03DF001,1,2025/04/19,535,
03DF001,1,2025/04/20,558,
03DF001,1,2025/04/21,592,
03DF001,1,2025/04/22,643,
03DF001,1,2025/04/23,708,
03DF001,1,2025/04/24,759,
03DF001,1,2025/04/25,807,
03DF001,1,2025/04/26,821,
03DF001,1,2025/04/27,821,
03DF001,1,2025/04/28,821,
03DF001,1,2025/04/29,821,
03DF001,1,2025/04/30,861,
03DF001,1,2025/05/01,951,
03DF001,1,2025/05/02,994,
03DF001,1,2025/05/03,1040,
03DF001,1,2025/05/04,1100,
03DF001,1,2025/05/05,1220,
03DF001,1,2025/05/06,1260,
03DF001,1,2025/05/07,1290,E
03DF001,1,2025/05/08,1360,E
