 ID,PARAM,dateTime,La Gabelle,SYM
02NG005,1,2025/06/14,520,
02NG005,1,2025/06/15,523,
02NG005,1,2025/06/16,496,
02NG005,1,2025/06/17,562,
02NG005,1,2025/06/18,506,
02NG005,1,2025/06/19,559,
02NG005,1,2025/06/20,439,
02NG005,1,2025/06/21,533,
02NG005,1,2025/06/22,633,
02NG005,1,2025/06/23,612,
02NG005,1,2025/06/24,569,
02NG005,1,2025/06/25,512,
02NG005,1,2025/06/26,609,
02NG005,1,2025/06/27,697,
02NG005,1,2025/06/28,834,
02NG005,1,2025/06/29,1140,
02NG005,1,2025/06/30,1330,
02NG005,1,2025/07/01,1220,
02NG005,1,2025/07/02,1230,
02NG005,1,2025/07/03,1260,
02NG005,1,2025/07/04,1200,
02NG005,1,2025/07/05,1010,
02NG005,1,2025/07/06,956,
02NG005,1,2025/07/07,958,
02NG005,1,2025/07/08,1120,
02NG005,1,2025/07/09,1210,
02NG005,1,2025/07/10,1170,
02NG005,1,2025/07/11,1250,
02NG005,1,2025/07/12,1390,
02NG005,1,2025/07/13,1240,
02NG005,1,2025/07/14,1090,
02NG005,1,2025/07/15,1030,
02NG005,1,2025/07/16,907,
02NG005,1,2025/07/17,1050,
02NG005,1,2025/07/18,971,
02NG005,1,2025/07/19,821,
02NG005,1,2025/07/20,757,
02NG005,1,2025/07/21,764,
02NG005,1,2025/07/22,847,
02NG005,1,2025/07/23,896,
02NG005,1,2025/07/24,930,
02NG005,1,2025/07/25,965,
02NG005,1,2025/07/26,1020,
02NG005,1,2025/07/27,1030,
02NG005,1,2025/07/28,950,
02NG005,1,2025/07/29,861,
02NG005,1,2025/07/30,862,
02NG005,1,2025/07/31,809,
02NG005,1,2025/08/01,768,
02NG005,1,2025/08/02,866,
02NG005,1,2025/08/03,742,
02NG005,1,2025/08/04,768,
02NG005,1,2025/08/05,797,
02NG005,1,2025/08/06,857,
02NG005,1,2025/08/07,763,
02NG005,1,2025/08/08,794,
02NG005,1,2025/08/09,722,
02NG005,1,2025/08/10,698,
02NG005,1,2025/08/11,674,
02NG005,1,2025/08/12,650,
02NG005,1,2025/08/13,696,
02NG005,1,2025/08/14,666,
02NG005,1,2025/08/15,638,
02NG005,1,2025/08/16,624,
02NG005,1,2025/08/17,573,
02NG005,1,2025/08/18,517,
02NG005,1,2025/08/19,530,
02NG005,1,2025/08/20,518,
02NG005,1,2025/08/21,643,
02NG005,1,2025/08/22,558,
02NG005,1,2025/08/23,611,
02NG005,1,2025/08/24,571,
02NG005,1,2025/08/25,590,
02NG005,1,2025/08/26,528,
02NG005,1,2025/08/27,477,
02NG005,1,2025/08/28,426,
02NG005,1,2025/08/29,489,
02NG005,1,2025/08/30,460,
02NG005,1,2025/08/31,474,
02NG005,1,2025/09/01,430,
02NG005,1,2025/09/02,428,
02NG005,1,2025/09/03,576,
02NG005,1,2025/09/04,582,
02NG005,1,2025/09/05,612,
02NG005,1,2025/09/06,558,
02NG005,1,2025/09/07,542,
02NG005,1,2025/09/08,561,
02NG005,1,2025/09/09,451,
02NG005,1,2025/09/10,407,
02NG005,1,2025/09/11,503,
02NG005,1,2025/09/12,523,
02NG005,1,2025/09/13,617,
02NG005,1,2025/09/14,571,
02NG005,1,2025/09/15,625,
02NG005,1,2025/09/16,639,
02NG005,1,2025/09/17,553,
02NG005,1,2025/09/18,595,
02NG005,1,2025/09/19,591,
02NG005,1,2025/09/20,693,
02NG005,1,2025/09/21,667,
02NG005,1,2025/09/22,588,
02NG005,1,2025/09/23,615,
02NG005,1,2025/09/24,547,
02NG005,1,2025/09/25,549,
02NG005,1,2025/09/26,514,
02NG005,1,2025/09/27,524,
02NG005,1,2025/09/28,519,
02NG005,1,2025/09/29,562,
02NG005,1,2025/09/30,594,
02NG005,1,2025/10/01,604,
02NG005,1,2025/10/02,618,
02NG005,1,2025/10/03,567,
02NG005,1,2025/10/04,533,
02NG005,1,2025/10/05,510,
02NG005,1,2025/10/06,494,
02NG005,1,2025/10/07,459,
02NG005,1,2025/10/08,538,
02NG005,1,2025/10/09,488,
02NG005,1,2025/10/10,520,
02NG005,1,2025/10/11,513,
02NG005,1,2025/10/12,541,
02NG005,1,2025/10/13,530,
02NG005,1,2025/10/14,586,
02NG005,1,2025/10/15,435,
02NG005,1,2025/10/16,487,
02NG005,1,2025/10/17,451,
02NG005,1,2025/10/18,444,
02NG005,1,2025/10/19,536,
02NG005,1,2025/10/20,497,
02NG005,1,2025/10/21,540,
02NG005,1,2025/10/22,477,
02NG005,1,2025/10/23,532,
02NG005,1,2025/10/24,530,
02NG005,1,2025/10/25,456,
02NG005,1,2025/10/26,467,
02NG005,1,2025/10/27,376,
02NG005,1,2025/10/28,433,
02NG005,1,2025/10/29,432,
02NG005,1,2025/10/30,467,
02NG005,1,2025/10/31,508,
02NG005,1,2025/11/01,466,
02NG005,1,2025/11/02,490,
02NG005,1,2025/11/03,576,
02NG005,1,2025/11/04,551,
02NG005,1,2025/11/05,646,
02NG005,1,2025/11/06,731,
02NG005,1,2025/11/07,821,
02NG005,1,2025/11/08,1000,
02NG005,1,2025/11/09,1130,
