Nom,Active Turbines,Flow (m3/s),Power (MW)
Robert-Bourassa,3,755.8839126398675,944.1085115552258
Robert-Bourassa,3,761.3812501863393,950.9595255224639
Robert-Bourassa,3,766.8785877328111,957.8103195654686
Robert-Bourassa,3,772.3759252792829,964.6608936842398
Robert-Bourassa,3,777.8732628257546,971.5112478787778
Robert-Bourassa,3,783.3706003722265,978.3613821490825
Robert-Bourassa,3,788.8679379186982,985.2112964951534
Robert-Bourassa,3,794.3652754651698,992.0609909169907
Robert-Bourassa,3,799.8626130116417,998.9104654145954
Robert-Bourassa,3,805.3599505581134,1005.7597199879662
Robert-Bourassa,3,810.8572881045852,1012.6087546371037
Robert-Bourassa,3,816.354625651057,1019.4575693620075
Robert-Bourassa,3,821.8519631975287,1026.306164162678
Robert-Bourassa,3,827.3493007440004,1033.1545390391154
Robert-Bourassa,3,832.8466382904721,1040.002693991319
Robert-Bourassa,3,838.3439758369441,1046.8506290192895
Robert-Bourassa,3,843.8413133834158,1053.6983441230263
Robert-Bourassa,3,849.3386509298875,1060.54583930253
Robert-Bourassa,3,854.8359884763593,1067.3931145578
Robert-Bourassa,3,860.333326022831,1074.2401698888368
Robert-Bourassa,3,865.8306635693029,1081.08700529564
Robert-Bourassa,3,871.3280011157747,1087.93362077821
Robert-Bourassa,3,876.8253386622464,1094.7800163365462
Robert-Bourassa,3,882.3226762087181,1101.6261919706494
Robert-Bourassa,3,887.82001375519,1108.4721476805196
Robert-Bourassa,3,893.3173513016617,1115.3178834661558
Robert-Bourassa,3,898.8146888481334,1122.1633993275584
Robert-Bourassa,3,904.3120263946051,1129.0086952647277
Robert-Bourassa,3,909.8093639410769,1135.8628706428212
Robert-Bourassa,3,915.3067014875487,1142.7260904050138
Robert-Bourassa,3,920.8040390340203,1149.5893101672057
Robert-Bourassa,3,926.3013765804922,1156.4525299293982
Robert-Bourassa,3,931.7987141269639,1163.3157496915906
Robert-Bourassa,3,937.2960516734358,1170.1789694537829
Robert-Bourassa,3,942.7933892199076,1177.0421892159752
Robert-Bourassa,3,948.2907267663791,1183.905408978167
Robert-Bourassa,3,953.7880643128512,1190.7686287403599
Robert-Bourassa,3,959.2854018593227,1197.6318485025517
Robert-Bourassa,3,964.7827394057947,1204.4950682647443
Robert-Bourassa,3,970.2800769522664,1211.3582880269366
Robert-Bourassa,3,975.7774144987379,1218.2215077891285
Robert-Bourassa,3,981.27475204521,1225.084727551321
Robert-Bourassa,3,986.7720895916816,1231.9479473135132
Robert-Bourassa,3,992.2694271381534,1238.8111670757057
Robert-Bourassa,3,997.7667646846252,1245.6743868378978
